1400 2.94522254e-03 1.92277943e-03
1.00000000e-03 1.00000000e+04 3.63116527e+01
1.00000000e-03 3.63116606e+01 2.29461223e-06 9.51745150e+01
1.01158778e-03 3.63116649e+01 2.32418432e-06 9.50105855e+01
1.02330983e-03 3.63116536e+01 2.39111738e-06 9.48453243e+01
1.03516772e-03 3.63116651e+01 2.41835739e-06 9.46788701e+01
1.04716302e-03 3.63117406e+01 2.51589407e-06 9.45113745e+01
1.05929731e-03 3.63116531e+01 2.53342671e-06 9.43429999e+01
1.07157221e-03 3.63116493e+01 2.59521368e-06 9.41739181e+01
1.08398936e-03 3.63116592e+01 2.66970592e-06 9.40043074e+01
1.09655039e-03 3.63116431e+01 2.70255135e-06 9.38343502e+01
1.10925697e-03 3.63116362e+01 2.75779986e-06 9.36642304e+01
1.12211079e-03 3.63116451e+01 2.85321619e-06 9.34941298e+01
1.13511357e-03 3.63116274e+01 2.85352799e-06 9.33242259e+01
1.14826701e-03 3.63116412e+01 2.97321875e-06 9.31546876e+01
1.16157287e-03 3.63117029e+01 3.02283847e-06 9.29856729e+01
1.17503292e-03 3.63116533e+01 3.09720857e-06 9.28173248e+01
1.18864895e-03 3.63116579e+01 3.14026481e-06 9.26497685e+01
1.20242275e-03 3.63116459e+01 3.22890000e-06 9.24831087e+01
1.21635616e-03 3.63116349e+01 3.29747380e-06 9.23174261e+01
1.23045102e-03 3.63116354e+01 3.35901433e-06 9.21527753e+01
1.24470922e-03 3.63116324e+01 3.42831584e-06 9.19891830e+01
1.25913263e-03 3.63116438e+01 3.50877435e-06 9.18266459e+01
1.27372318e-03 3.63116479e+01 3.57020721e-06 9.16651298e+01
1.28848281e-03 3.63116492e+01 3.66983651e-06 9.15045696e+01
1.30341346e-03 3.63116569e+01 3.73959873e-06 9.13448691e+01
1.31851713e-03 3.63116468e+01 3.81473793e-06 9.11859020e+01
1.33379581e-03 3.63116437e+01 3.87792512e-06 9.10275142e+01
1.34925154e-03 3.63116568e+01 4.00353401e-06 9.08695259e+01
1.36488637e-03 3.63116553e+01 4.06028276e-06 9.07117352e+01
1.38070237e-03 3.63116591e+01 4.15217156e-06 9.05539221e+01
1.39670165e-03 3.63116389e+01 4.23949021e-06 9.03958537e+01
1.41288632e-03 3.63116448e+01 4.32806480e-06 9.02372892e+01
1.42925853e-03 3.63116364e+01 4.44028004e-06 9.00779863e+01
1.44582046e-03 3.63116337e+01 4.50909150e-06 8.99177076e+01
1.46257431e-03 3.63116465e+01 4.63440619e-06 8.97562272e+01
1.47952230e-03 3.63116445e+01 4.70616204e-06 8.95933375e+01
1.49666668e-03 3.63116444e+01 4.83727211e-06 8.94288557e+01
1.51400972e-03 3.63116343e+01 4.94687573e-06 8.92626301e+01
1.53155373e-03 3.63116336e+01 5.02712853e-06 8.90945459e+01
